Symbol,Name,Inception date,Category1,Category2,Category3,Market cap,Current dividend yield,Historical average dividend yield,Leverage factor,Average volume,Action,
ACP,Aberdeen Income Credit Strategies Fund CEF,01/27/2011,Global Fixed Income,Global,Corporate bonds,"239,858,222.00  $",12%,18%,1.46,"170,629",Analyze,1
ACV,Allianzgi Diversified Income & Convertible Fund CEF,05/22/2015,Asset Allocation,US,Moderate,"270,755,008.00  $",31%,12%,1.35,"44,660",Analyze,2
ADX,"Adams Diversified Equity Fund, Inc. CEF",01/01/1929,US Equity,Broad market,Large cap,"2,023,254,763.00  $",16%,3%,1.01,"257,495",Analyze,3
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc. CEF",01/02/2001,Global Equity,Emerging markets,Large and mid cap,"392,818,762.00  $",7%,15%,1.11,"48,740",Analyze,4
AFB,"AllianceBernstein National Municipal Income Fund, Inc. CEF",01/29/2002,US Fixed Income,Municipal bonds,Unconstrained,"377,995,908.00  $",5%,6%,1.59,"78,776",Analyze,5
AFT,Apollo Senior Floating Rate Fund Inc. CEF,02/24/2011,US Fixed Income,Bank loans,Broad market,"255,709,662.00  $",6%,7%,1.67,"79,628",Analyze,6
AGD,Aberdeen Global Dynamic Dividend Fund CEF,07/26/2006,Global Equity,Global,Large and mid cap,"144,696,669.00  $",7%,12%,1.00,"47,158",Analyze,7
AIF,Apollo Tactical Income Fund Inc. CEF,02/26/2013,US Fixed Income,Broad market,Unconstrained,"211,970,301.00  $",7%,9%,1.74,"66,645",Analyze,8
AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund CEF,10/29/2019,US Equity,Single industry,Information technology,"775,710,826.00  $",23%,15%,1.00,"125,735",Analyze,9
AOD,Aberdeen Total Dynamic Dividend Fund CEF,01/26/2007,Global Equity,Global,Large and mid cap,"1,031,604,160.00  $",8%,12%,1.00,"401,607",Analyze,10
ARDC,"Ares Dynamic Credit Allocation Fund, Inc. CEF",11/28/2012,US Fixed Income,Broad market,Unconstrained,"350,140,268.00  $",8%,8%,1.47,"61,469",Analyze,11
ASA,ASA Gold&Precious Metals CEF,01/03/1978,Global Equity,Single industry,Natural resources,"410,874,977.00  $",0%,2%,1.00,"65,776",Analyze,12
ASG,"Liberty All-Star Growth Fund, Inc. CEF",03/14/1986,US Equity,Broad Market,Multi-cap,"298,075,290.00  $",14%,8%,1.04,"488,405",Analyze,13
ASGI,Aberdeen Standard Global Infrastructure Income CEF,07/29/2020,Global Equity,Single industry,Infrastructure,"176,214,500.00  $",7%,6%,1.00,"22,571",Analyze,14
AVK,Advent Claymore Convertible Securities and Income Fund CEF,04/30/2003,US Fixed Income,Broad market,Unconstrained,"538,938,715.00  $",18%,9%,1.72,"110,426",Analyze,15
AWF,"AllianceBernstein Global High Income Fund, Inc. CEF",07/29/1993,Global Fixed Income,Global,High yield,"943,352,666.00  $",7%,12%,1.02,"262,268",Analyze,16
AWP,Alpine Global Premier Properties Fund CEF,04/26/2007,Global Equity,Single sector,Real estate,"522,696,660.00  $",8%,10%,1.07,"488,114",Analyze,17
BANX,StoneCastle Financial CEF,11/07/2013,US Equity,Single industry,Banking,"143,043,537.00  $",7%,8%,1.36,"7,623",Analyze,18
BBN,Blackrock Taxable Municipal Bond Trust CEF,08/27/2010,US Fixed Income,Municipal bonds,Taxable,"1,269,654,971.00  $",6%,7%,1.58,"286,379",Analyze,19
BCAT,BlackRock Capital Allocation Trust CEF,09/25/2020,Asset Allocation,US,Moderate,"1,969,193,660.00  $",7%,5%,1.26,"307,935",Analyze,20
BCV,Bancroft Fund CEF,09/07/1984,Special Security Types,Convertible bonds,,"128,122,991.00  $",19%,8%,1.00,"25,294",Analyze,21
BCX,Blackrock Resources & Commodities Strategy Trust CEF,03/29/2011,Global Equity,Single industry,Natural resources,"902,003,456.00  $",5%,8%,1.01,"349,188",Analyze,22
BDJ,Blackrock Enhanced Equity Dividend Trust CEF,08/26/2005,US Equity,Broad market,Large and mid cap,"1,847,292,689.00  $",8%,9%,1.02,"697,630",Analyze,23
BFK,Blackrock Municipal Income Trust CEF,07/27/2001,US Fixed Income,Municipal bonds,Investment grade,"585,048,987.00  $",5%,6%,1.64,"93,814",Analyze,24
BFZ,Blackrock California Municipal Income Trust CEF,07/27/2001,US Fixed Income,Municipal bonds,Investment grade,"409,580,171.00  $",4%,6%,1.62,"77,896",Analyze,25
BGB,Blackstone/GSO Strategic Credit Fund CEF,09/26/2012,US Fixed Income,Broad market,Unconstrained,"582,870,172.00  $",7%,8%,1.25,"195,644",Analyze,26
BGH,Barings Global Short Duration High Yield Fund CEF,08/04/2006,Global Fixed Income,Global,High yield,"316,801,690.00  $",10%,6%,1.25,"78,943",Analyze,27
BGR,Blackrock Energy and Resources Trust CEF,12/23/2004,Global Equity,Single industry,Natural resources,"324,797,800.00  $",4%,9%,1.02,"189,041",Analyze,28
BGT,Blackrock Floating Rate Income Trust CEF,08/26/2004,US Fixed Income,Bank loans,Broad market,"304,621,318.00  $",6%,7%,1.50,"94,506",Analyze,29
BGX,Blackstone/GSO Long-Short Credit Income Fund CEF,01/27/2011,US Fixed Income,Bank loans,Broad market,"180,704,859.00  $",8%,8%,1.25,"51,640",Analyze,30
BGY,Blackrock Enhanced International Dividend Trust CEF,05/25/2007,Global Equity,Global ex-US,Large and mid cap,"631,474,644.00  $",7%,11%,1.01,"263,873",Analyze,31
BHK,Blackrock Core Bond Trust CEF,11/28/2001,US Fixed Income,Broad market,Investment grade,"717,337,176.00  $",7%,7%,1.56,"264,462",Analyze,32
BHV,Blackrock Virginia Municipal Bond Trust CEF,04/26/2002,US Fixed Income,Municipal bonds,Investment grade,"28,535,840.00  $",3%,5%,1.65,"3,282",Analyze,33
BIF,Boulder Growth & Income Fund Inc. CEF,01/05/1988,US Equity,Broad market,Large and mid cap,"1,375,793,720.00  $",4%,9%,1.00,"88,039",Analyze,34
BIGZ,BlackRock Innovation and Growth Trust CEF,03/26/2021,Alternatives,Options,Broad,"3,207,070,394.00  $",7%,6%,1.00,"1,203,165",Analyze,35
BIT,Blackrock Multi-Sector Income Trust CEF,02/26/2013,US Fixed Income,Broad market,Unconstrained,"609,873,563.00  $",9%,9%,1.70,"162,242",Analyze,36
